_id,CULTURĂ ȘI CULTE,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
1,Număr de biblioteci,76,82,82,82,84,88,90,84,79,95,108,109,111,104,117,117,120,128,127,127,132,128,130,149,144,,,,,
2,Număr de biblioteci publice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,2,3,3,2,,,,,
3,Număr utilizatori activi în biblioteci,80170,85667,93436,89764,90894,85777,82319,78114,76091,,,,,,,,,,,,,,,,,,,,,
4,Număr colecții deținute de biblioteci,4085335,4078630,4222969,4439595,4421175,4494511,4336179,4310700,4041146,,,,,,,,,,,,,,,,,,,,,
5,Număr angajați în biblioteci,255,259,261,274,226,226,218,221,232,,,,,,,,,,,,,,,,,,,,,
6,Numărul sălilor de spectacole sau concerte,,,8,8,8,8,8,7,7,8,7,7,7,7,8,8,7,9,7,7,7,6,6,6,6,6,7,7,7,7
7,Număr spectatori în evenimente cultural/sociale cu vizibilitate internațională ,168108,237553,267113,253550,234265,228987,232132,191051,145245,115088,133359,118783,124237,104155,100194,,,,,,,,,,,,,,,
8,Capacitatea pentru concerte,2205,2423,2584,2589,2589,2688,2602,2908,2736,2786,3042,2691,2782,2287,1353,,,,,,,,,,,,,,,
9,Număr personalul angajat din institutiile si companiile de spectacole,826,799,792,788,788,776,741,743,762,,,,,,,,,,,,,,,,,,,,,
10,Număr muzee,9,8,9,9,9,9,9,10,11,11,10,9,8,12,12,,,,,,,,,,,,,,,
11,Număr de vizitatori la muzee,247204,181935,155855,144922,171777,173284,174760,161385,45401,74676,81486,32188,237963,42964,377833,,,,,,,,,,,,,,,
12,Număr personal în muzee,159,143,164,154,152,124,123,129,141,,,,,,,,,,,,,,,,,,,,,
